candidate_id,kepid,y,koi_disposition,koi_period,koi_time0bk,koi_duration,koi_depth,koi_snr,local_half_window
K02046.01,10663396,1,CONFIRMED,23.8990075,151.39847,15.955,293.4,,0.11126682162284851
K04161.01,5565707,0,FALSE POSITIVE,1.2940561,131.861,0.97,51.2,,0.12493018060922623
K00001.01,11446443,1,CONFIRMED,2.470613377,122.763305,1.74319,14230.9,,0.11759495735168457
K00765.01,11391957,1,CONFIRMED,8.35389523,171.63257,2.2514,1041.6,,0.04491716995835304
K02077.01,4768846,0,FALSE POSITIVE,1.25483232,132.18633,2.67,117.6,,0.25
K03609.01,6233903,0,FALSE POSITIVE,2.995357359,132.796981,6.57901,172404.0,,0.25
K03930.01,11607176,0,FALSE POSITIVE,3.28274272,132.64464,8.9,292.8,,0.25
K07250.01,9906802,0,FALSE POSITIVE,9.26147679,135.1085808,1.77,,,0.031852371990680695
K03592.01,9851126,0,FALSE POSITIVE,8.480303653,135.854594,7.48907,81427.9,,0.1471855640411377
K04032.03,7100673,1,CONFIRMED,5.99273265,131.75079,2.6502,69.8,,0.07370594143867493
K01364.04,6962977,1,CONFIRMED,3.71545593,169.78318,2.558,331.7,,0.11474590003490448
K01482.01,7812167,0,FALSE POSITIVE,17.7940049,365.34666,4.091,879.4,,0.038318149745464325
K03546.01,7287391,0,FALSE POSITIVE,4.286103033,134.590777,2.6422,173359.0,,0.10274290293455124
K03870.01,8258160,0,FALSE POSITIVE,23.6270348,150.0362,11.481,8433.0,,0.08098773658275604
K06694.01,6364294,0,FALSE POSITIVE,5.2436612,132.7337,11.39,88.3,,0.25
K00255.01,7021681,1,CONFIRMED,27.52194772,189.824523,4.047,2312.8,,0.024507712572813034
K06208.01,9579860,0,FALSE POSITIVE,2.151214629,131.74391,2.226,332.6,,0.17246070504188538
K04424.01,7046035,1,CONFIRMED,2.27164952,131.82601,4.054,82.4,,0.25
K00136.01,7601633,0,FALSE POSITIVE,15.663886949,147.395712,2.4775,5144.4,,0.02636105939745903
K03614.01,9886224,0,FALSE POSITIVE,2.992662857,131.893219,2.5258,113705.0,,0.14066624641418457
K01223.01,6613006,0,FALSE POSITIVE,7.388833611,133.9344039,5.62857,13063.5,,0.12696117162704468
K06252.01,1026032,0,FALSE POSITIVE,8.460438928,133.7744903,4.73492,76412.9,,0.09327569603919983
K01087.01,3124412,0,FALSE POSITIVE,0.948950734,134.368152,4.0245,2133.0,,0.25
K00701.02,9002278,1,CONFIRMED,5.71489692,170.921904,2.3572,425.9,,0.06874431669712067
K00490.04,3239945,1,CONFIRMED,21.803708,139.07199,3.369,246.4,,0.02575249969959259
K00603.01,2441151,0,FALSE POSITIVE,2.192009479,171.671953,2.9453,1475.6,,0.22394216060638428
K02693.03,5185897,1,CONFIRMED,6.83440674,136.86023,2.2726,177.1,,0.055420562624931335
K01438.01,11193263,1,CONFIRMED,6.91134223,136.64878,5.6743,201.7,,0.13683545589447021
K00809.01,3935914,1,CONFIRMED,1.594745374,170.6483505,1.9604,15044.5,,0.2048811912536621
K02748.01,9962455,1,CONFIRMED,23.1985852,142.62801,9.821,224.7,,0.07055746018886566
K01661.01,4832197,0,FALSE POSITIVE,0.94773253,137.12993,1.7645,11306.0,,0.25
K01914.01,8426567,1,CONFIRMED,18.93055119,143.25058,3.372,684.0,,0.029687460511922836
K06042.01,7749318,0,FALSE POSITIVE,2.371589507,132.743293,3.5116,235104.0,,0.24678245186805725
K06534.01,5174492,0,FALSE POSITIVE,0.720589427,131.9829699,4.329,70.0,,0.25
K01041.01,5982368,0,FALSE POSITIVE,19.56313723,369.11182,6.8575,5536.0,,0.05842195078730583
K01809.02,8240797,1,CONFIRMED,4.915385452,132.69448,2.7757,225.5,,0.09411605447530746
K01136.01,8386035,0,FALSE POSITIVE,1.63484631,134.512115,6.11,,,0.25
K00526.01,9157634,1,CONFIRMED,2.104721971,171.044219,1.7547,905.5,,0.1389494687318802
K01262.01,8703884,0,FALSE POSITIVE,14.17098745,359.82956,3.4804,3070.8,,0.04093339666724205
K01102.01,3231341,1,CONFIRMED,12.33343853,137.58782,6.221,536.4,,0.08406685292720795
K01074.01,10272640,1,CONFIRMED,3.770551475,357.11836,3.8077,12440.0,,0.16830871999263763
K07433.01,11287726,0,FALSE POSITIVE,4.737713268,132.325253,6.384,105259.0,,0.22458091378211975
K05038.01,4077252,0,FALSE POSITIVE,0.534109403,131.80501,0.9513,78.3,,0.25
K02006.01,10525027,1,CONFIRMED,3.27344784,134.45023,1.7292,262.5,,0.08804173022508621
K06113.01,4346875,0,FALSE POSITIVE,4.694218481,133.780334,4.53365,175471.0,,0.16096574068069458
K01981.01,10153855,1,CONFIRMED,1.06378861,131.52465,1.072,251.5,,0.16795316338539124
K01229.01,6432059,0,FALSE POSITIVE,0.76973817,133.2965754,2.5,,,0.25
K00942.01,9512687,1,CONFIRMED,11.51517167,174.85855,2.006,1357.4,,0.02903416007757187
K03748.02,4247807,0,FALSE POSITIVE,2.02487934,131.9026,1.621,145.8,,0.1334235817193985
K03776.01,9291378,0,FALSE POSITIVE,3.796488133,135.15079,11.0659,3007.6,,0.25
K03344.02,11810124,1,CONFIRMED,3.63898953,131.78562,2.252,209.6,,0.10314218699932098
K02859.01,10397751,1,CONFIRMED,3.4462125,132.22894,2.101,83.5,,0.10160913318395615
K02716.01,9092504,1,CONFIRMED,0.962864171,132.12548,1.6802,303.5,,0.25
K04574.01,6522745,0,FALSE POSITIVE,17.4453935,135.7609,6.39,501.7,,0.06104763597249985
K07772.01,6205566,0,FALSE POSITIVE,3.7228679,134.635,9.557,52.1,,0.25
K04947.01,2574543,0,FALSE POSITIVE,6.70258007,134.37408,4.632,859.0,,0.11517952382564545
K01204.01,3438507,1,CONFIRMED,8.39842977,136.31152,6.344,340.1,,0.12589654326438904
K02428.01,9965184,0,FALSE POSITIVE,16.2276756,136.62586,3.699,525.8,,0.03799065202474594
K02755.01,3545135,1,CONFIRMED,8.48299282,132.96583,2.505,69.1,,0.049216121435165405
K04108.01,9899065,0,FALSE POSITIVE,1.33256418,132.0473,4.701,162.3,,0.25
K04777.01,6592335,1,CONFIRMED,0.824000125,131.80421,0.855,183.1,,0.17293687164783478
K00438.01,12302530,1,CONFIRMED,5.931196562,174.796908,2.4999,1007.4,,0.07024721056222916
K02528.01,9205907,1,CONFIRMED,12.02295362,136.20687,1.2667,778.6,,0.017559466883540154
K01191.01,3859628,1,CONFIRMED,8.17242644,361.20157,3.902,864.3,,0.0795765295624733
K02506.01,6767840,1,CONFIRMED,8.679037,140.90423,2.864,301.6,,0.05499842017889023
K06548.01,5269407,0,FALSE POSITIVE,0.958871144,131.6864267,2.74361,232350.0,,0.25
K01151.01,8280511,1,CONFIRMED,10.43547031,134.82462,3.4167,210.2,,0.05456869676709175
K02218.02,12058204,1,CONFIRMED,16.7261969,143.74673,2.708,194.9,,0.02698361873626709
K01909.01,10130039,1,CONFIRMED,12.75800092,133.95888,4.1828,187.9,,0.05464283376932144
K07608.01,10253638,0,FALSE POSITIVE,7.4539297,137.33196,14.21,,,0.25
K00992.01,1432789,1,CONFIRMED,9.93146307,136.49128,5.678,398.6,,0.09528639912605286
K05463.01,8029848,0,FALSE POSITIVE,1.20608769,132.0861,2.2272,1660.6,,0.25
K00730.03,10227020,1,CONFIRMED,19.7243672,135.05923,7.202,577.9,,0.06085535138845444
K04078.01,5649837,0,FALSE POSITIVE,0.597934463,131.95507,3.1225,515.0,,0.25
K03743.01,4935914,0,FALSE POSITIVE,3.486318703,134.87329,2.7904,60135.0,,0.13339763879776
K06061.01,8695779,0,FALSE POSITIVE,10.238939876,132.722552,3.4851,3153.1,,0.056729506701231
K06722.01,6521542,0,FALSE POSITIVE,2.212877035,132.682428,4.66961,376200.0,,0.25
K06648.01,6035335,0,FALSE POSITIVE,1.044408447,132.31116,3.633,46.2,,0.25
K02334.01,5110683,0,FALSE POSITIVE,12.53449909,134.95078,6.02,,,0.08004574477672577
K02389.01,8494617,1,CONFIRMED,22.9221181,133.66805,8.2,140.3,,0.059622179716825485
K02088.01,12164770,0,FALSE POSITIVE,2.63009438,132.22517,11.226,388.9,,0.25
K00745.01,10485250,0,FALSE POSITIVE,16.46983774,180.881761,9.4378,10478.9,,0.09550590068101883
K00939.02,9466668,1,CONFIRMED,5.83909761,132.09261,3.1915,273.6,,0.0910956934094429
K07321.01,10407047,0,FALSE POSITIVE,0.93374699,131.52406,6.168,172.1,,0.25
K07600.01,9092897,0,FALSE POSITIVE,3.9169155,132.2130377,2.11,,,0.08978153020143509
K00552.01,5122112,0,FALSE POSITIVE,3.055171082,171.099046,1.6798,8665.3,,0.09163698554039001
K06528.01,5125048,0,FALSE POSITIVE,0.56818769,132.06643,2.0,,,0.25
K02422.01,11360805,1,CONFIRMED,26.7838935,140.75396,4.584,365.3,,0.028524605557322502
K02498.01,5959719,1,CONFIRMED,6.73808701,133.32953,2.591,92.9,,0.06408841907978058
K07192.01,9579192,0,FALSE POSITIVE,12.08353781,139.6155998,7.90317,43086.6,,0.10900739580392838
K00829.01,5358241,1,CONFIRMED,18.64932728,174.771,4.4056,893.6,,0.039372287690639496
K07190.01,9541567,0,FALSE POSITIVE,1.12284501,131.671908,0.95,,,0.1410108506679535
K00218.01,9838975,0,FALSE POSITIVE,18.692860599,143.8331829,3.88584,51256.5,,0.03464638441801071
K01500.01,9719634,0,FALSE POSITIVE,3.351556891,134.28439,2.4005,341.9,,0.11937238276004791
K03156.03,4150611,0,FALSE POSITIVE,8.653098686,136.657941,3.9071,60715.0,,0.07525435090065002
K03935.01,5895158,1,CONFIRMED,1.093665854,132.47213,1.4399,218.4,,0.21943020820617676
K00966.02,3233043,0,FALSE POSITIVE,7.76967007,133.0900444,4.74,,,0.10167741775512695
K01109.01,3235672,0,FALSE POSITIVE,6.7210783,134.7775984,7.46,,,0.18499015271663666
K00216.02,6152974,1,CONFIRMED,7.51854537,132.53078,2.845,286.7,,0.0630662739276886
K06923.01,7846730,0,FALSE POSITIVE,11.02822674,136.96732,8.275,278035.0,,0.1250578761100769
K01829.02,7697568,0,FALSE POSITIVE,10.3482112,136.63763,2.089,255.1,,0.03364510461688042
K00460.01,8043638,1,CONFIRMED,17.58751692,176.077382,4.3773,1377.8,,0.041481126099824905
K01024.01,2715135,1,CONFIRMED,5.747711909,133.29939,1.8923,820.1,,0.05487110838294029
K02424.01,12453581,1,CONFIRMED,11.94019101,136.55603,2.866,631.7,,0.04000494256615639
K02918.02,7008149,0,FALSE POSITIVE,0.51554111,131.6708765,0.87,,,0.25
K00894.01,7708215,0,FALSE POSITIVE,7.9426176,174.52563,6.703,1590.7,,0.14065472781658173
K06848.01,7212722,0,FALSE POSITIVE,2.316171991,132.311636,4.03025,251484.0,,0.25
K04613.01,10220837,1,CONFIRMED,1.962282625,131.53585,1.45,68.3,,0.12315589189529419
K06104.01,3761319,0,FALSE POSITIVE,16.2480865,143.96708,8.232,438.7,,0.08444071561098099
K06145.01,6221385,1,CONFIRMED,19.672324,134.3013,4.812,649.9,,0.040767934173345566
K01833.01,11853878,1,CONFIRMED,3.69298623,132.73624,1.7744,763.3,,0.08007972687482834
K06272.01,2438517,0,FALSE POSITIVE,3.31587688,131.50648,3.152,185.6,,0.15842968225479126
K00463.01,8845205,1,CONFIRMED,18.47762694,185.269061,1.94,2604.6,,0.017498640343546867
K00665.02,6685609,1,CONFIRMED,1.61189046,133.5704,3.0792,101.1,,0.25
K03960.01,7777416,0,FALSE POSITIVE,2.54557259,132.69874,5.636,529.0,,0.25
K06175.01,8197761,0,FALSE POSITIVE,9.86869589,138.99584,2.876,5915.0,,0.04857109114527702
K06813.01,7033713,0,FALSE POSITIVE,2.19642864,133.4945,4.933,99.5,,0.25
K07732.01,5529552,0,FALSE POSITIVE,0.759768478,131.78573,2.824,57.4,,0.25
K02754.01,10905911,1,CONFIRMED,1.34155642,132.73743,1.6462,58.2,,0.20451369881629944
K00623.02,12068975,1,CONFIRMED,15.67750191,179.47311,5.5082,115.5,,0.05855737254023552
K00330.01,11361646,1,CONFIRMED,7.97420583,174.52718,5.3503,293.1,,0.1118251383304596
K02256.01,9112931,1,CONFIRMED,10.71253475,137.16499,2.7186,1198.6,,0.04229624569416046
K02427.01,10189557,0,FALSE POSITIVE,2.93101771,131.92959,2.231,199.1,,0.12686151266098022
K01196.02,3348082,1,CONFIRMED,11.63486009,140.50071,5.466,292.3,,0.07829917967319489
K00018.01,8191672,1,CONFIRMED,3.548465446,122.9014315,4.56904,7251.5,,0.21460168063640594
K01536.01,12159249,1,CONFIRMED,3.74443645,133.55997,2.9191,73.3,,0.1299305409193039
K00284.01,6021275,1,CONFIRMED,18.01019956,179.42137,3.516,177.7,,0.03253711760044098
K03509.01,3439096,0,FALSE POSITIVE,2.97601892,132.96926,5.5,306.1,,0.25
K00867.01,6863998,1,CONFIRMED,16.08518937,180.28319,3.984,1442.4,,0.04128021001815796
K03945.01,3121340,0,FALSE POSITIVE,0.723947772,132.06247,2.125,242.7,,0.25
K07854.01,7885494,0,FALSE POSITIVE,1.72929014,132.5562,3.609,84.5,,0.25
K00082.06,10187017,0,FALSE POSITIVE,22.4098677,147.38366,2.271,69.8,,0.01688988134264946
K00810.01,3940418,1,CONFIRMED,4.783002698,170.508434,2.335,1008.7,,0.08136451244354248
K01222.01,4060815,0,FALSE POSITIVE,4.2856756,134.4812,4.059,31.4,,0.1578514277935028
K03819.01,5560831,0,FALSE POSITIVE,0.867721348,132.161646,4.8783,97653.0,,0.25
K03668.01,8589731,0,FALSE POSITIVE,4.469731089,133.011683,5.257,3159.6,,0.19602222740650177
K01243.01,6677256,0,FALSE POSITIVE,3.125814002,356.41184,1.7895,238.8,,0.0954151451587677
K03115.01,11714231,1,CONFIRMED,5.8660127,136.35647,3.985,183.0,,0.11322284489870071
K02464.01,9887224,0,FALSE POSITIVE,0.874629873,132.25706,1.782,68.1,,0.25
K00317.01,8121310,1,CONFIRMED,22.20809549,206.35965,7.3327,463.2,,0.05503023415803909
K04488.01,6721380,0,FALSE POSITIVE,6.44173995,136.77753,1.635,107.7,,0.04230223596096039
K01093.01,3239636,0,FALSE POSITIVE,0.528755447,133.38227,5.714,408.5,,0.25
K00983.02,11607193,0,FALSE POSITIVE,5.177577252,132.9009561,2.4777,1325.4,,0.07975737750530243
K07524.01,12353720,0,FALSE POSITIVE,1.953285321,133.1432,1.67598,1520.3,,0.14300522208213806
K03867.01,9353742,1,CONFIRMED,0.938750221,131.68256,1.3568,280.7,,0.24088764190673828
K00893.01,7685981,1,CONFIRMED,4.40841331,172.18582,5.012,549.4,,0.18948616087436676
K06236.02,11252617,0,FALSE POSITIVE,1.27620899,131.6866,2.169,186.2,,0.25
K03718.01,5036537,0,FALSE POSITIVE,1.06100873,132.521276,2.6715,6367.1,,0.25
K07184.01,9529294,0,FALSE POSITIVE,2.51690133,133.49353,2.521,59.6,,0.16693808138370514
K02521.01,7183745,1,CONFIRMED,28.4750006,154.5706,4.718,763.8,,0.027614865452051163
K07544.02,3749508,0,FALSE POSITIVE,1.065731229,132.039287,1.7499,3639.6,,0.25
K03941.01,8552587,0,FALSE POSITIVE,1.061935973,131.723748,3.3177,337.9,,0.25
K03881.01,8211824,0,FALSE POSITIVE,0.84112187,132.164939,2.0431,75070.0,,0.25
K02044.01,9656252,1,CONFIRMED,16.92342126,145.81407,4.1864,1125.3,,0.04122885689139366
K03082.01,10619142,0,FALSE POSITIVE,2.04516705,132.36168,3.625,154.8,,0.25
K02727.01,4861527,0,FALSE POSITIVE,25.7054557,156.66709,6.059,266.3,,0.03928478807210922
K06800.01,6965293,0,FALSE POSITIVE,5.077746556,134.63539,3.1718,18836.7,,0.10410786420106888
K00583.01,9076513,1,CONFIRMED,2.437029217,170.73808,3.2005,244.0,,0.21887987852096558
K06278.01,2568971,0,FALSE POSITIVE,5.088582739,134.055128,7.6066,448.9,,0.2491394430398941
K01058.01,6124941,0,FALSE POSITIVE,5.670155713,136.201739,0.9361,536.7,,0.027515411376953125
K00988.01,2302548,1,CONFIRMED,10.38122447,268.02421,2.715,801.5,,0.0435883067548275
K04534.01,7699298,0,FALSE POSITIVE,1.1578141,132.43684,3.253,54.8,,0.25
K07080.01,8713828,0,FALSE POSITIVE,1.25451792,131.7413568,2.64,,,0.25
K01387.01,8949247,0,FALSE POSITIVE,23.799939273,152.5654761,5.02319,60186.4,,0.035176489502191544
K03999.01,2010191,0,FALSE POSITIVE,3.43525124,132.6333,4.509,152.2,,0.21876129508018494
K07511.01,12071006,0,FALSE POSITIVE,6.096030635,135.0308909,18.4531,901661.0,,0.25
K05075.01,4678873,0,FALSE POSITIVE,1.878877205,133.074035,5.8768,104026.0,,0.25
K01806.03,9529744,1,CONFIRMED,8.37159554,137.68075,5.252,98.0,,0.10455991327762604
K00511.01,6451936,1,CONFIRMED,8.00579096,170.50325,3.0549,629.7,,0.06359771639108658
K08029.01,10686909,0,FALSE POSITIVE,2.61854596,133.9991,4.866,19.7,,0.25
K01367.01,6934291,1,CONFIRMED,0.567856484,134.063088,1.0258,334.8,,0.25
K06551.01,5282656,0,FALSE POSITIVE,1.516372183,131.83387,1.239,93.8,,0.13618028163909912
K02630.01,11495766,0,FALSE POSITIVE,4.1749166,134.1713,4.828,40.7,,0.1927383840084076
K02954.01,4571536,0,FALSE POSITIVE,0.676715927,131.7606,0.63,264.5,,0.15516111254692078
K02347.01,8235924,1,CONFIRMED,0.588001053,132.058754,1.1451,297.4,,0.25
K01119.02,3003992,0,FALSE POSITIVE,13.55480534,139.81609,2.288,48.3,,0.02813270501792431
K07517.01,12251779,0,FALSE POSITIVE,14.844240386,134.2337694,6.83577,83412.4,,0.07674997299909592
K07079.01,8711548,0,FALSE POSITIVE,18.778162159,149.6776416,8.1018,488408.0,,0.07190799713134766
K01183.01,3544689,0,FALSE POSITIVE,1.922861499,134.658644,3.5734,1916.2,,0.25
K00208.01,3762468,1,CONFIRMED,3.003879547,134.709874,3.2848,8538.0,,0.18225319683551788
K07858.01,7919867,0,FALSE POSITIVE,1.60375114,132.16816,1.498,51.0,,0.1556766927242279
K02617.01,4915638,1,CONFIRMED,8.63050092,139.57438,3.144,325.8,,0.060714900493621826
K00235.01,8107225,1,CONFIRMED,5.63252508,133.81818,2.1448,634.4,,0.06346472352743149
K02724.01,5308387,0,FALSE POSITIVE,0.620739667,132.10051,2.477,108.2,,0.25
K02722.04,7673192,1,CONFIRMED,8.92114318,137.49071,3.933,110.8,,0.0734771266579628
K03712.01,2437060,0,FALSE POSITIVE,3.187087241,132.8582,7.2897,129093.0,,0.25
K00639.01,5120087,1,CONFIRMED,17.97979816,182.24179,5.5828,459.1,,0.05175067484378815
K02329.01,11192235,1,CONFIRMED,1.615357809,132.7846,1.1435,499.6,,0.11798211932182312
K07130.01,9093566,0,FALSE POSITIVE,0.94356284,132.3272,5.721,13.4,,0.25
K00751.01,10682541,1,CONFIRMED,4.99677968,171.74208,2.1717,934.7,,0.07243665307760239
K04449.01,8429668,0,FALSE POSITIVE,5.00749378,134.69035,2.898,56.6,,0.09645543992519379
K03506.01,8719419,0,FALSE POSITIVE,12.62530918,140.0602,3.163,39413.0,,0.04175475239753723
K01776.01,8453214,0,FALSE POSITIVE,5.77676732,131.5416,6.822,5794.8,,0.1968228816986084
K03218.01,10191036,0,FALSE POSITIVE,1.21374652,131.735,3.371,28.9,,0.25
K00292.01,11075737,1,CONFIRMED,2.586639524,171.842572,2.253,217.7,,0.14516904950141907
K03482.01,7288444,1,CONFIRMED,15.3317719,142.5217,5.467,179.2,,0.059429965913295746
K04125.01,9099950,0,FALSE POSITIVE,1.111362442,132.30056,6.24,133.9,,0.25
K06987.01,8192861,0,FALSE POSITIVE,0.552141897,131.77199,4.985,105.6,,0.25
K02460.01,11236244,1,CONFIRMED,11.32269749,136.05511,3.517,311.0,,0.05176917091012001
K01284.01,10960993,0,FALSE POSITIVE,3.117087797,134.684738,3.06941,12152.1,,0.16411739587783813
K01759.01,3248019,0,FALSE POSITIVE,1.334104585,132.3674913,3.14624,61690.8,,0.25
K01182.01,3865567,0,FALSE POSITIVE,11.11620211,133.100575,4.211,4843.9,,0.06313607096672058
K04483.01,6525106,0,FALSE POSITIVE,1.71028117,131.62619,2.61,111.6,,0.25
K01342.02,4275721,1,CONFIRMED,8.18182189,134.81423,2.4566,299.6,,0.05004182830452919
K05129.01,5131276,0,FALSE POSITIVE,0.66882716,131.8692,1.069,68.2,,0.25
K01741.01,8180020,0,FALSE POSITIVE,5.803127153,136.101253,4.9041,58570.0,,0.14084647595882416
K02448.01,5857540,1,CONFIRMED,13.62801048,135.45073,3.5374,912.8,,0.043261390179395676
K06447.01,4758350,0,FALSE POSITIVE,1.120997701,131.48486,11.243,145.6,,0.25
K00314.02,7603200,1,CONFIRMED,23.08902241,171.007634,1.7012,598.3,,0.01228000596165657
K03622.01,6677267,0,FALSE POSITIVE,3.125821128,134.479684,2.2163,5025.4,,0.11817161738872528
K01977.02,9412760,1,CONFIRMED,7.41556471,137.81512,1.973,150.4,,0.04434366896748543
K06326.01,3339538,0,FALSE POSITIVE,14.658013949,140.4756141,3.03316,129645.0,,0.034488074481487274
K06498.01,5025294,0,FALSE POSITIVE,5.462689263,134.26516,3.2605,4184.6,,0.0994778648018837
K00338.02,10552611,1,CONFIRMED,3.10762684,132.63359,2.361,77.2,,0.1266239583492279
K01665.01,4932442,1,CONFIRMED,6.93365167,137.07375,4.608,119.6,,0.11076414585113525
K06738.01,6595662,0,FALSE POSITIVE,2.680514453,132.598382,3.21178,195748.0,,0.19969922304153442
K02110.01,11460462,1,CONFIRMED,5.03728033,134.1094,2.0619,76.3,,0.06822133809328079
K01052.01,5956342,1,CONFIRMED,17.02902786,143.33395,4.645,568.9,,0.045461587607860565
K02653.01,6525193,0,FALSE POSITIVE,1.710279417,131.61739,2.252,228.8,,0.21945731341838837
K00965.01,3337351,0,FALSE POSITIVE,7.047103499,175.03337,3.3208,71318.0,,0.07853817939758301
K06926.01,7870250,0,FALSE POSITIVE,0.580724809,131.72956,1.82,64.2,,0.25
K01348.01,6866228,0,FALSE POSITIVE,7.702374154,137.563452,3.8459,18377.0,,0.08321893215179443
K07436.01,11295085,0,FALSE POSITIVE,2.49777454,133.7602628,5.241,78.7,,0.25
K02946.01,9642292,1,CONFIRMED,15.1408916,143.74584,4.359,476.8,,0.04798264428973198
K00671.03,7040629,1,CONFIRMED,16.25951967,144.53203,3.854,129.5,,0.03950506076216698
K02213.01,7457296,1,CONFIRMED,3.97076603,134.63962,1.814,349.2,,0.07613980025053024
K07969.01,9851983,0,FALSE POSITIVE,1.456383399,132.71661,11.838,212.2,,0.25
K02236.02,10723367,1,CONFIRMED,12.12580644,142.10763,3.289,327.5,,0.04520661383867264
K00395.01,4165960,0,FALSE POSITIVE,6.77449545,171.0118,2.5416,481.9,,0.06252864003181458
K01148.01,8410727,1,CONFIRMED,11.47609015,135.39622,5.046,182.3,,0.07328280061483383
K03851.01,9784230,0,FALSE POSITIVE,0.7981968,131.570334,2.22035,257616.0,,0.25
K07191.01,9569866,0,FALSE POSITIVE,1.480324075,131.7556963,3.20209,400007.0,,0.25
K02443.02,9209624,1,CONFIRMED,11.8376933,142.21212,3.381,92.9,,0.047602180391550064
K07610.01,10341777,0,FALSE POSITIVE,0.933746709,132.4539,3.435,18.6,,0.25
K00131.01,7778437,1,CONFIRMED,5.014234733,133.174289,4.589,6536.0,,0.1525324136018753
K01881.01,4035640,1,CONFIRMED,28.26727385,140.92561,4.5839,1160.2,,0.027027131989598274
K01306.04,10858691,1,CONFIRMED,29.2214959,139.32807,4.014,394.0,,0.022894104942679405
K04069.01,5906694,1,CONFIRMED,13.06243545,144.18426,3.244,464.3,,0.041390955448150635
K03586.01,7376490,0,FALSE POSITIVE,5.877122413,136.420718,3.7369,15647.1,,0.10597306489944458
K06915.01,7769815,0,FALSE POSITIVE,4.43529675,134.7488,2.117,181.9,,0.07955123484134674
K06790.01,6929016,0,FALSE POSITIVE,0.733726452,132.02005,2.309,114.6,,0.25
K02726.01,10363281,0,FALSE POSITIVE,0.934924739,132.17846,2.052,73.8,,0.25
K07024.01,8364119,0,FALSE POSITIVE,7.73591011,137.9876592,5.01919,315131.0,,0.10813616961240768
K07717.01,5120225,0,FALSE POSITIVE,1.041619932,131.836717,8.1218,1840.5,,0.25
K04046.01,4150496,0,FALSE POSITIVE,8.65312868,136.65308,3.376,508.6,,0.06502465158700943
K00665.01,6685609,1,CONFIRMED,5.868066282,170.324046,4.1246,436.5,,0.11714819073677063
K03649.01,6066379,0,FALSE POSITIVE,1.303858554,131.606872,4.36797,126636.0,,0.25
